FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
965556|Snake Hill|Summit|NY|36|Orange|071|412916N|0740236W|41.4878716|-74.0431971|||||210|689|Cornwall-on-Hudson|01/23/1980|
965557|Snake Hill|Summit|NY|36|Columbia|021|420138N|0734150W|42.0273136|-73.6973494|||||219|718|Ancram|01/23/1980|
965558|Snake Hill|Summit|NY|36|Rensselaer|083|423947N|0733230W|42.6631348|-73.541781|||||373|1224|Averill Park|01/23/1980|
965571|Snell Hill|Summit|NY|36|Steuben|101|422110N|0772621W|42.3528488|-77.4391509|||||532|1745|Towlesville|01/23/1980|
965597|Snyder Hill|Summit|NY|36|Tompkins|109|422513N|0762358W|42.4203506|-76.3993815|||||454|1489|Ithaca East|01/23/1980|
965598|Snyder Hill|Summit|NY|36|Cortland|023|423134N|0760631W|42.5261824|-76.1085385|||||591|1939|McGraw|01/23/1980|
965599|Snyder Hill|Summit|NY|36|Essex|031|434808N|0735529W|43.8022858|-73.9248563|||||655|2149|Minerva|01/23/1980|
965613|Soap Hill|Summit|NY|36|Orange|071|413448N|0735805W|41.5800936|-73.9681942|||||95|312|Wappingers Falls|01/23/1980|
965644|Sorrel Hill|Summit|NY|36|Onondaga|067|430654N|0762126W|43.115067|-76.3571547|||||196|643|Camillus|01/23/1980|
965772|South Hill|Summit|NY|36|Sullivan|105|414934N|0743052W|41.826204|-74.5143237|||||601|1972|Grahamsville|01/23/1980|
965773|South Hill|Summit|NY|36|Allegany|003|420050N|0774816W|42.013957|-77.8044399|||||723|2372|Whitesville|01/23/1980|
965774|South Hill|Summit|NY|36|Chautauqua|013|421932N|0790901W|42.3256148|-79.1503198|||||591|1939|Hamlet|01/23/1980|
965775|South Hill|Summit|NY|36|Chenango|017|422155N|0752717W|42.3653559|-75.4546241|||||511|1676|Sidney|01/23/1980|
965776|South Hill|Summit|NY|36|Cortland|023|423005N|0760913W|42.5014606|-76.1535399|||||635|2083|Cortland|01/23/1980|
965777|South Hill|Summit|NY|36|Cortland|023|423422N|0760447W|42.5728483|-76.0796485|||||581|1906|McGraw|01/23/1980|
965778|South Hill|Summit|NY|36|Chenango|017|424124N|0755059W|42.6900679|-75.8496386|||||550|1804|South Otselic|01/23/1980|
965779|South Hill|Summit|NY|36|Yates|123|424154N|0771930W|42.6984001|-77.3249825|||||575|1886|Middlesex|01/23/1980|
965780|South Hill|Summit|NY|36|Madison|053|424411N|0755207W|42.7364563|-75.8685278|||||604|1982|South Otselic|01/23/1980|
965781|South Hill|Summit|NY|36|Oneida|065|431653N|0751742W|43.2814585|-75.2948912|||||391|1283|North Western|01/23/1980|
965940|Spar Bed Hill|Summit|NY|36|Essex|031|435911N|0733206W|43.9864449|-73.5351257|||||409|1342|Eagle Lake|01/23/1980|
965968|Spectacle Pond Hill|Summit|NY|36|Essex|031|434809N|0734330W|43.8025631|-73.7251285|||||494|1621|Pharaoh Mountain|01/23/1980|
965984|Spencer Hill|Summit|NY|36|Steuben|101|420708N|0770502W|42.1189631|-77.0838585|||||533|1749|Caton|01/23/1980|
965997|Sperry Hill|Summit|NY|36|Oneida|065|432918N|0751853W|43.4884022|-75.3146155|||||424|1391|Boonville|01/23/1980|
966028|Spoon Hill|Summit|NY|36|Herkimer|043|425641N|0750244W|42.9447932|-75.0454351|||||519|1703|Millers Mills|01/23/1980|
966033|Sporting Hill|Summit|NY|36|Franklin|033|443640N|0740448W|44.6111591|-74.0798723|||||648|2126|Loon Lake|01/23/1980|
966116|Sprout Hill|Summit|NY|36|Yates|123|423239N|0765920W|42.5442376|-76.988854|||||428|1404|Dundee|01/23/1980|
966121|Spruce Hill|Summit|NY|36|Putnam|079|412304N|0735012W|41.3845381|-73.8368016|||||281|922|Oscawana Lake|01/23/1980|
966122|Spruce Hill|Summit|NY|36|Essex|031|441637N|0734054W|44.2769923|-73.6818035|||||783|2569|Jay Mountain|01/23/1980|
966123|Spruce Hill|Summit|NY|36|Clinton|019|444751N|0735700W|44.7975426|-73.9498679|||||684|2244|Ellenburg Center|01/23/1980|
966124|Spruce Hill|Summit|NY|36|Essex|031|435936N|0740723W|43.9933956|-74.1229272|||||646|2119|Vanderwhacker Mountain|01/23/1980|
966155|Spy Hill|Summit|NY|36|Dutchess|027|414101N|0735251W|41.6837047|-73.8809686|||||113|371|Poughkeepsie|01/23/1980|
966179|Squirrel Hill|Summit|NY|36|Chenango|017|421640N|0754712W|42.2778532|-75.7865816|||||457|1499|Greene|01/23/1980|
966189|Stace Hill|Summit|NY|36|Oneida|065|432105N|0753541W|43.3514585|-75.5946253|||||287|942|Lee Center|01/23/1980|
966229|Stanton Hill|Summit|NY|36|Greene|039|422629N|0735249W|42.4414707|-73.8804047|||||260|853|Alcove|01/23/1980|
966230|Stanton Hill|Summit|NY|36|Essex|031|441310N|0732954W|44.2194954|-73.4984634|||||247|810|Westport|01/23/1980|
966245|Star Stanton Hill|Summit|NY|36|Tompkins|109|422644N|0761713W|42.445628|-76.2868773|||||612|2008|Dryden|01/23/1980|
966258|Starkweather Hill|Summit|NY|36|Delaware|025|420740N|0750304W|42.127864|-75.0509992|||||776|2546|Walton East|01/23/1980|
966261|Starr Hill|Summit|NY|36|Oneida|065|432042N|0751458W|43.3450693|-75.2493342|||||545|1788|Remsen|01/23/1980|
966307|Stayback Hill|Summit|NY|36|Westchester|119|411316N|0734805W|41.2212056|-73.8015231|||||185|607|Ossining|01/23/1980|
966310|Steam Sawmill Hill|Summit|NY|36|Chenango|017|423813N|0753108W|42.6370158|-75.5187914|||||532|1745|Earlville|01/23/1980|
966322|Steege Hill|Summit|NY|36|Chemung|015|420617N|0765637W|42.1047966|-76.9435738|||||540|1772|Seeley Creek|01/23/1980|
966335|Steep Bay Hill|Summit|NY|36|Essex|031|435010N|0734404W|43.8361731|-73.7345737|||||385|1263|Pharaoh Mountain|01/23/1980|
966343|Steiny Hill|Summit|NY|36|Ulster|111|415238N|0742020W|41.8773151|-74.3387618|||||440|1444|West Shokan|01/23/1980|
966373|Steuben Hill|Summit|NY|36|Herkimer|043|430328N|0750127W|43.0578478|-75.0240458|||||347|1138|Ilion|01/23/1980|
966406|Stewart Hill|Summit|NY|36|Washington|115|431024N|0732638W|43.1734086|-73.4440012|||||280|919|Cossayuna|01/23/1980|
966418|Stid Hill|Summit|NY|36|Ontario|069|424448N|0772314W|42.7467324|-77.3872083|||||635|2083|Bristol Springs|01/23/1980|
966420|Stiles Hill|Summit|NY|36|Essex|031|440353N|0733548W|44.0647762|-73.5967959|||||682|2238|Witherbee|01/23/1980|
966426|Still Hill|Summit|NY|36|Albany|001|423134N|0740643W|42.5261889|-74.1120786|||||532|1745|Westerlo|01/23/1980|
966468|Stockham Hill|Summit|NY|36|Onondaga|067|425211N|0755629W|42.8697891|-75.9413075|||||503|1650|DeRuyter|01/23/1980|
966471|Stocking Hill|Summit|NY|36|Schuyler|097|422613N|0770456W|42.4370162|-77.0821917|||||482|1581|Wayne|01/23/1980|
966505|Stone Hill|Summit|NY|36|Steuben|101|422638N|0773614W|42.4439577|-77.6038794|||||632|2073|Haskinville|01/23/1980|
966506|Stone Hill|Summit|NY|36|Oswego|075|432509N|0755611W|43.4192366|-75.9363056|||||222|728|Williamstown|01/23/1980|
